date,year,quarter,month,region,segment,channel,product_category,product_name,sku,units_sold,unit_price,discount_pct,gross_revenue,cogs,tax_pct,tax_amount,returned_units,net_revenue
2023-01-01,2023,1,1,East,Consumer,Online,Software Subscription,Gamma Suite,SS-2679,1,8766.99,0.0,8766.99,2958.67,0.05,438.35,0,9205.34
2023-01-01,2023,1,1,North,Consumer,Retail,Hardware,Delta Hub,H-8359,1,37377.22,0.15,31770.64,14901.88,0.12,3812.48,0,35583.11
2023-01-01,2023,1,1,West,Consumer,Online,Software Subscription,Beta Cloud,SS-5333,1,10071.28,0.05,9567.72,3171.89,0.12,1148.13,0,10715.84
2023-01-01,2023,1,1,East,Enterprise,Online,Professional Services,Onboarding,PS-4733,4,52476.52,0.05,199410.78,81995.61,0.12,23929.29,0,223340.08
2023-01-01,2023,1,1,South,SMB,Retail,Hardware,Delta Hub,H-3803,1,14792.44,0.15,12573.57,7233.13,0.05,628.68,0,13202.25
2023-01-01,2023,1,1,West,SMB,Online,Software Subscription,Beta Cloud,SS-7572,2,4677.41,0.0,9354.82,3602.08,0.18,1683.87,0,11038.68
2023-01-01,2023,1,1,West,Consumer,Online,Software Subscription,Gamma Suite,SS-9830,1,4627.42,0.0,4627.42,3234.24,0.05,231.37,0,4858.79
2023-01-01,2023,1,1,North,Consumer,Online,Hardware,Zeta Box,H-7916,7,20390.69,0.0,142734.85,98263.14,0.0,0.0,0,142734.85
2023-01-01,2023,1,1,North,Enterprise,Retail,Professional Services,Integration,PS-2827,3,8168.76,0.15,20830.33,8443.69,0.05,1041.52,0,21871.85
2023-01-02,2023,1,1,North,SMB,Retail,Hardware,Delta Hub,H-3504,1,11461.96,0.0,11461.96,6184.62,0.18,2063.15,1,2063.15
2023-01-02,2023,1,1,West,Enterprise,Retail,Software Subscription,Alpha SaaS,SS-4946,1,10780.1,0.0,10780.1,7451.14,0.05,539.0,0,11319.1
2023-01-02,2023,1,1,South,Consumer,Online,Professional Services,Integration,PS-4470,1,43873.12,0.05,41679.46,29094.75,0.12,5001.54,0,46681.0
2023-01-02,2023,1,1,South,Consumer,Online,Software Subscription,Gamma Suite,SS-4770,1,7884.4,0.0,7884.4,5220.8,0.12,946.13,0,8830.53
2023-01-02,2023,1,1,North,SMB,Online,Software Subscription,Gamma Suite,SS-8744,1,4429.97,0.15,3765.48,1778.89,0.18,677.79,0,4443.26
2023-01-02,2023,1,1,West,Consumer,Retail,Hardware,Delta Hub,H-7596,1,37023.7,0.1,33321.33,15975.76,0.18,5997.84,0,39319.17
2023-01-02,2023,1,1,South,Enterprise,Online,Professional Services,Custom Dev,PS-2604,1,51473.43,0.0,51473.43,18866.27,0.18,9265.22,0,60738.65
2023-01-02,2023,1,1,West,Enterprise,Online,Software Subscription,Beta Cloud,SS-5345,1,11265.18,0.15,9575.4,6685.25,0.18,1723.57,0,11298.98
2023-01-03,2023,1,1,South,Enterprise,Online,Hardware,Zeta Box,H-6138,3,28367.1,0.0,85101.31,27466.6,0.0,0.0,0,85101.31
2023-01-03,2023,1,1,North,Consumer,Partner,Software Subscription,Gamma Suite,SS-5033,1,7789.19,0.1,7010.27,3569.02,0.12,841.23,0,7851.5
2023-01-03,2023,1,1,East,Consumer,Online,Hardware,Epsilon Sensor,H-8491,1,35074.58,0.1,31567.12,22047.7,0.0,0.0,0,31567.12
2023-01-03,2023,1,1,South,Consumer,Online,Software Subscription,Alpha SaaS,SS-7054,1,4849.87,0.15,4122.39,2108.92,0.12,494.69,0,4617.08
2023-01-03,2023,1,1,North,Enterprise,Online,Professional Services,Custom Dev,PS-3546,1,45315.83,0.15,38518.46,24696.69,0.18,6933.32,0,45451.78
2023-01-03,2023,1,1,West,Consumer,Retail,Professional Services,Onboarding,PS-1058,1,58949.49,0.05,56002.02,29158.69,0.18,10080.36,0,66082.38
2023-01-03,2023,1,1,North,Enterprise,Retail,Software Subscription,Alpha SaaS,SS-7049,1,7825.1,0.0,7825.1,5161.2,0.05,391.25,0,8216.35
2023-01-03,2023,1,1,East,Consumer,Online,Professional Services,Custom Dev,PS-3532,1,16450.09,0.0,16450.09,10734.78,0.0,0.0,0,16450.09
2023-01-03,2023,1,1,West,SMB,Online,Hardware,Zeta Box,H-5065,5,36494.98,0.05,173351.16,67429.0,0.18,31203.21,0,204554.36
2023-01-03,2023,1,1,West,Enterprise,Online,Hardware,Epsilon Sensor,H-6378,6,7776.83,0.1,41994.88,19312.24,0.12,5039.39,0,47034.27
2023-01-04,2023,1,1,North,Enterprise,Online,Training,Webinar Pack,T-1626,1,5734.64,0.1,5161.18,3580.28,0.0,0.0,0,5161.18
2023-01-04,2023,1,1,East,Consumer,Retail,Software Subscription,Gamma Suite,SS-4228,2,5642.21,0.0,11284.43,6379.71,0.0,0.0,0,11284.43
2023-01-04,2023,1,1,South,Consumer,Online,Software Subscription,Beta Cloud,SS-3085,1,3918.4,0.0,3918.4,2140.25,0.12,470.21,0,4388.61
2023-01-04,2023,1,1,West,Consumer,Online,Professional Services,Custom Dev,PS-6279,1,19112.47,0.15,16245.6,5976.38,0.0,0.0,0,16245.6
2023-01-04,2023,1,1,East,SMB,Online,Training,Bootcamp,T-6085,1,4805.37,0.05,4565.11,2485.74,0.0,0.0,0,4565.11
2023-01-04,2023,1,1,West,SMB,Retail,Software Subscription,Beta Cloud,SS-4997,1,3475.71,0.0,3475.71,2124.94,0.05,173.79,0,3649.5
2023-01-04,2023,1,1,West,Consumer,Online,Software Subscription,Alpha SaaS,SS-8478,4,3333.39,0.0,13333.56,9067.03,0.18,2400.04,0,15733.61
